serialn_long	Serialn	lat	lon	startdate	enddate
TODO	ODINSD0069	-42.1130305621773	171.868323711678	7/07/2020 1:43	
TODO	ODINSD0160	-42.1106324577704	171.862944792956	7/07/2020 1:36	
TODO	ODINSD0162	-42.112447055988	171.860128389671	7/07/2020 1:21	
TODO	ODINSD0183	-42.1190481400117	171.86788039282	7/07/2020 2:03	
TODO	ODINSD0194	-42.112629446201	171.855758149177	7/07/2020 1:06	
TODO	ODINSD0201	-42.1186845330521	171.85954676941	7/07/2020 2:14	
TODO	ODINSD0203	-42.1158870309591	171.868364196271	7/07/2020 1:52	
TODO	ODINSD0204	-42.1157153276727	171.863977108151	7/07/2020 2:34	
TODO	ODINSD0211	-42.1148803643882	171.85874864459	1/07/2020 22:48	
TODO	ODINSD0214	-42.1187406918034	171.863517360762	7/07/2020 2:26	

